two_theta_deg,intensity_counts
2.000000e+001,4.200000e+001
2.002000e+001,3.500000e+001
2.004000e+001,3.600000e+001
2.006000e+001,3.200000e+001
2.008000e+001,3.300000e+001
2.010000e+001,3.700000e+001
2.012000e+001,2.700000e+001
2.014000e+001,4.200000e+001
2.016000e+001,3.200000e+001
2.018000e+001,3.200000e+001
2.020000e+001,3.700000e+001
2.022000e+001,3.500000e+001
2.024000e+001,2.900000e+001
2.026000e+001,3.200000e+001
2.028000e+001,2.600000e+001
2.030000e+001,3.400000e+001
2.032000e+001,4.200000e+001
2.034000e+001,4.200000e+001
2.036000e+001,3.900000e+001
2.038000e+001,3.000000e+001
2.040000e+001,4.200000e+001
2.042000e+001,4.000000e+001
2.044000e+001,3.100000e+001
2.046000e+001,2.400000e+001
2.048000e+001,4.200000e+001
2.050000e+001,2.900000e+001
2.052000e+001,3.000000e+001
2.054000e+001,4.600000e+001
2.056000e+001,2.800000e+001
2.058000e+001,3.200000e+001
2.060000e+001,3.800000e+001
2.062000e+001,4.700000e+001
2.064000e+001,3.700000e+001
2.066000e+001,3.700000e+001
2.068000e+001,3.600000e+001
2.070000e+001,3.200000e+001
2.072000e+001,4.000000e+001
2.074000e+001,3.800000e+001
2.076000e+001,3.700000e+001
2.078000e+001,3.400000e+001
2.080000e+001,3.100000e+001
2.082000e+001,3.600000e+001
2.084000e+001,3.600000e+001
2.086000e+001,2.800000e+001
2.088000e+001,3.900000e+001
2.090000e+001,3.700000e+001
2.092000e+001,4.100000e+001
2.094000e+001,3.500000e+001
2.096000e+001,2.600000e+001
2.098000e+001,2.800000e+001
2.100000e+001,4.100000e+001
2.102000e+001,4.200000e+001
2.104000e+001,3.900000e+001
2.106000e+001,3.200000e+001
2.108000e+001,3.100000e+001
2.110000e+001,4.000000e+001
2.112000e+001,4.600000e+001
2.114000e+001,4.300000e+001
2.116000e+001,4.200000e+001
2.118000e+001,5.000000e+001
2.120000e+001,6.000000e+001
2.122000e+001,4.400000e+001
2.124000e+001,5.900000e+001
2.126000e+001,7.300000e+001
2.128000e+001,5.200000e+001
2.130000e+001,5.400000e+001
2.132000e+001,8.300000e+001
2.134000e+001,6.600000e+001
2.136000e+001,6.100000e+001
2.138000e+001,5.400000e+001
2.140000e+001,5.400000e+001
2.142000e+001,4.600000e+001
2.144000e+001,5.300000e+001
2.146000e+001,4.400000e+001
2.148000e+001,3.700000e+001
